date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
09-01,MARSHALL,MIAMI-OH,35,28,100,-120,1.0,51,20.4,19.2,0.7,0.7,1.1,0.5,34.1,33.2,20.5,18.5,1.9,1.4,239.6,220.5,6.5,5.5,19.9,26.7,34.8,35.8,1.1,1.0,140.5,121.2,380.2,341.7,1.8,1.2,59.8,56.1,0.6011730205278593,0.5572289156626505,7.026392961876833,6.6415662650602405,68.9,66.4,0.3875181422351233,0.29969879518072284,4.037356321839081,3.385474860335196,5.518142235123366,5.146084337349397,0,0,0,0,1,0,0,0,0,0,-1.13,-6.44,20.7,18.8,0.6,0.5,0.9,0.9,32.3,30.4,17.8,16.0,2.0,1.6,237.7,200.8,7.3,5.7,24.1,24.4,36.5,37.2,1.0,1.1,147.3,167.7,384.9,368.5,1.5,1.4,63.1,55.2,0.5510835913312694,0.5263157894736842,7.359133126934985,6.605263157894737,68.8,60.8,0.3546511627906977,0.3963815789473685,4.035616438356165,4.508064516129032,5.594476744186046,6.060855263157895,0,0,0,0,0,1,0,0,0,0,-6.04,-6.21
09-01,SOUTHERN-METHODIST,NORTH-TEXAS,23,46,130,-150,3.0,71,24.0,23.4,0.5,0.8,1.0,0.9,37.5,30.3,21.8,19.0,2.7,2.0,294.1,269.0,6.4,7.2,36.7,37.8,37.4,42.0,2.0,2.5,184.4,207.7,478.5,476.7,1.5,1.8,59.2,66.2,0.5813333333333334,0.6270627062706271,7.842666666666667,8.877887788778878,74.9,60.6,0.5046728971962616,0.6056105610561057,4.93048128342246,4.9452380952380945,6.3885180240320425,7.866336633663366,0,1,0,0,0,0,0,0,0,0,0.71,-0.76,24.3,20.6,0.9,0.6,1.1,0.6,37.1,30.1,23.4,16.6,2.3,1.7,291.9,228.9,4.9,5.7,35.0,35.5,36.8,42.1,2.0,2.4,164.2,202.5,456.1,431.4,1.9,1.1,43.8,51.4,0.6307277628032344,0.5514950166112957,7.867924528301886,7.604651162790698,73.9,60.2,0.48037889039242215,0.5813953488372092,4.461956521739131,4.809976247030879,6.171853856562922,7.166112956810631,0,0,0,0,1,0,0,0,0,0,-3.6,-4.1
09-01,MIDDLE-TENNESSEE-STATE,VANDERBILT,7,35,135,-155,3.0,56,21.2,19.6,0.5,0.5,1.3,0.4,36.4,33.5,21.7,20.7,1.8,1.4,251.1,223.2,6.5,5.7,24.7,25.5,32.8,38.6,1.2,1.5,143.5,137.8,394.5,361.1,1.8,0.8,63.4,56.3,0.5961538461538461,0.617910447761194,6.898351648351649,6.662686567164179,69.19999999999999,67.0,0.3684971098265897,0.3686567164179104,4.375,3.5699481865284977,5.700867052023122,5.389552238805971,0,0,0,0,1,0,0,0,0,0,-6.48,-6.86,18.4,21.0,0.3,0.2,0.8,0.6,33.6,27.3,19.3,15.9,2.3,1.3,243.6,194.6,5.8,7.2,31.3,24.6,29.0,39.9,1.2,2.5,107.6,199.8,351.2,394.3,1.2,0.8,50.1,46.4,0.5744047619047619,0.5824175824175825,7.249999999999999,7.128205128205128,62.6,54.6,0.3929712460063898,0.5732600732600732,3.7103448275862068,5.007518796992482,5.610223642172524,7.221611721611722,0,0,0,0,0,0,0,0,1,0,-2.11,2.3
09-01,BRIGHAM-YOUNG,ARIZONA,28,23,331,-420,11.0,58,16.5,20.5,0.6,0.7,1.5,0.6,32.2,29.7,17.5,19.5,1.0,1.5,194.6,225.2,4.5,5.3,24.7,17.1,30.9,40.0,0.9,1.2,130.7,147.6,325.3,372.8,2.1,1.3,39.2,49.0,0.5434782608695652,0.6565656565656566,6.0434782608695645,7.582491582491582,63.1,59.4,0.27099841521394613,0.4158249158249158,4.229773462783172,3.69,5.155309033280507,6.276094276094277,0,0,0,0,0,0,0,0,0,0,-8.06,-1.37,23.5,24.8,0.7,0.5,1.0,1.5,22.7,37.9,14.1,23.6,1.5,1.9,180.2,286.1,5.3,8.2,34.4,41.3,46.9,40.0,3.7,2.5,309.7,187.7,489.9,473.8,1.7,1.9,55.0,75.6,0.6211453744493393,0.6226912928759895,7.938325991189427,7.548812664907652,69.6,75.8,0.5933908045977011,0.45382585751978893,6.603411513859275,4.6925,7.038793103448276,6.250659630606861,0,0,0,0,0,0,0,1,0,0,3.17,-0.98
09-01,TEXAS-SAN-ANTONIO,ARIZONA-STATE,7,49,755,-1200,18.0,52,21.1,15.1,1.0,0.8,0.6,1.2,28.1,23.7,17.4,11.6,1.4,1.2,202.8,160.1,7.2,5.2,17.0,23.5,40.5,34.0,0.9,0.9,184.5,129.3,387.4,289.4,1.6,2.0,58.3,54.1,0.6192170818505337,0.48945147679324896,7.217081850533808,6.755274261603375,68.6,47.4,0.3425655976676385,0.35864978902953587,4.555555555555555,3.8029411764705885,5.647230320699709,6.10548523206751,0,0,0,0,1,0,0,0,0,0,-5.78,-10.33,21.8,22.4,0.5,0.5,0.7,0.8,32.0,35.3,20.3,22.2,1.6,1.5,255.7,274.9,3.8,6.8,32.8,31.8,43.4,35.2,2.1,2.4,175.8,176.5,431.5,451.4,1.2,1.3,37.5,57.9,0.634375,0.6288951841359773,7.990625,7.787535410764873,75.4,70.6,0.42175066312997345,0.46458923512747874,4.050691244239632,5.014204545454545,5.722811671087532,6.393767705382436,0,0,0,0,0,0,0,1,0,0,3.8,3.72
09-01,NEVADA-LAS-VEGAS,SOUTHERN-CALIFORNIA,21,43,1322,-3200,27.0,58,21.2,24.0,0.5,1.0,0.8,0.6,24.9,29.0,13.5,17.9,0.8,1.3,186.9,219.3,4.7,5.5,31.8,28.8,44.0,44.2,2.4,2.7,240.2,239.3,427.1,458.7,1.3,1.6,39.9,54.3,0.5421686746987953,0.6172413793103447,7.506024096385543,7.562068965517242,68.9,58.0,0.4179970972423802,0.5482758620689655,5.459090909090909,5.414027149321267,6.198838896952104,7.908620689655172,0,0,0,0,0,0,1,0,0,0,-7.92,-5.42,24.3,20.1,1.0,0.6,0.9,1.1,35.1,33.9,22.1,18.4,1.9,1.6,299.0,237.0,7.6,6.7,26.1,32.6,38.5,36.4,2.1,1.4,186.2,159.3,485.2,396.3,1.9,1.8,69.6,56.0,0.6296296296296297,0.5427728613569321,8.518518518518519,6.991150442477877,73.6,67.8,0.44293478260869573,0.3849557522123894,4.836363636363636,4.376373626373627,6.592391304347826,5.845132743362832,0,0,0,0,0,0,0,1,0,0,12.37,5.09
09-01,CINCINNATI,UCLA,26,17,447,-600,14.0,63,19.7,22.9,0.6,0.5,0.8,0.4,36.2,29.4,20.4,18.3,1.7,1.9,216.4,236.1,7.8,7.2,31.8,20.9,30.9,43.8,0.9,1.6,135.3,192.4,351.8,428.5,1.3,0.9,73.0,66.8,0.5635359116022098,0.6224489795918368,5.9779005524861875,8.03061224489796,67.1,58.8,0.3114754098360656,0.5408163265306123,4.378640776699029,4.392694063926941,5.2429210134128175,7.287414965986395,0,1,0,0,0,0,0,0,0,0,-9.59,-0.76,23.5,24.6,0.9,0.4,0.8,0.6,41.2,27.3,26.0,15.6,2.4,1.5,344.5,196.3,8.2,7.5,36.6,32.5,30.2,49.9,1.5,2.7,114.0,287.4,458.5,483.7,1.7,1.0,75.2,67.1,0.6310679611650485,0.5714285714285714,8.361650485436893,7.190476190476191,71.4,54.6,0.4551820728291316,0.6703296703296704,3.774834437086093,5.759519038076152,6.42156862745098,8.858974358974358,0,0,0,0,0,0,0,1,0,0,0.64,4.41
09-01,WASHINGTON,AUBURN,16,21,-101,-119,1.0,50,20.8,16.8,0.5,0.7,0.4,1.2,26.8,32.1,18.5,20.9,1.5,0.8,222.2,197.2,4.2,4.2,16.1,36.2,36.4,35.2,2.8,0.8,183.2,101.7,405.5,298.8,0.8,1.8,34.2,39.5,0.6902985074626865,0.6510903426791277,8.291044776119403,6.143302180685358,63.2,64.2,0.5727848101265823,0.250778816199377,5.032967032967033,2.8892045454545454,6.416139240506329,4.654205607476635,0,0,0,0,0,0,0,1,0,0,16.22,1.61,22.3,16.6,1.0,0.9,0.4,0.4,27.3,30.6,18.2,16.6,1.5,1.1,233.4,182.6,4.5,6.0,18.5,33.9,45.9,37.7,2.4,0.8,218.3,137.0,451.6,319.6,1.4,1.4,38.6,48.5,0.6666666666666666,0.542483660130719,8.54945054945055,5.967320261437908,73.2,61.2,0.4631147540983606,0.3022875816993464,4.75599128540305,3.6339522546419096,6.169398907103825,5.222222222222222,0,0,0,0,0,0,0,0,1,0,17.95,6.38
09-01,CENTRAL-MICHIGAN,KENTUCKY,20,35,562,-800,17.0,50,18.3,19.2,1.1,0.9,1.3,1.5,36.1,30.9,20.2,16.9,2.1,1.2,255.7,185.5,6.4,6.9,27.5,28.5,34.6,42.8,1.5,1.8,135.0,185.2,390.7,370.8,2.4,2.4,61.8,60.9,0.5595567867036011,0.546925566343042,7.083102493074792,6.003236245954692,70.7,61.8,0.4031117397454031,0.4449838187702266,3.9017341040462425,4.327102803738318,5.526166902404526,6.000000000000001,0,0,0,0,0,1,0,0,0,0,-5.03,-4.8,18.6,22.2,0.6,0.5,0.5,0.8,25.4,32.8,15.1,21.1,0.8,1.6,188.2,251.6,5.5,7.0,28.2,25.5,37.5,35.8,2.1,1.8,161.7,175.3,349.8,426.9,1.2,1.4,48.2,60.5,0.594488188976378,0.6432926829268294,7.409448818897638,7.670731707317073,62.9,65.6,0.40540540540540543,0.42987804878048785,4.311999999999999,4.896648044692738,5.56120826709062,6.507621951219512,0,0,0,0,0,0,0,0,1,0,1.3,2.92
09-01,MISSISSIPPI,TEXAS-TECH,47,27,-135,115,-2.0,72,21.3,23.2,0.4,0.4,1.1,0.7,36.2,28.8,23.4,16.6,2.3,1.5,328.4,214.2,7.6,5.7,34.6,32.8,30.8,45.8,1.6,2.4,134.1,245.3,462.5,459.5,1.5,1.1,62.4,53.6,0.6464088397790054,0.576388888888889,9.071823204419887,7.437499999999999,67.0,57.6,0.4895522388059701,0.6006944444444444,4.353896103896104,5.355895196506551,6.902985074626866,7.977430555555555,0,0,0,0,0,0,0,0,1,0,2.78,1.44,24.5,24.3,0.5,1.2,0.9,1.1,41.6,39.2,27.2,24.7,2.7,2.5,333.7,282.2,8.0,5.8,32.2,34.3,35.3,37.5,1.5,1.2,140.9,161.6,474.6,443.8,1.4,2.2,76.6,57.3,0.6538461538461539,0.6301020408163265,8.021634615384615,7.198979591836734,76.9,78.4,0.44603381014304283,0.4107142857142857,3.9915014164305953,4.309333333333333,6.171651495448635,5.660714285714286,0,0,1,0,0,0,0,0,0,0,3.01,4.01
09-01,WEST-VIRGINIA,TENNESSEE,40,14,-365,292,-10.0,58,23.2,21.5,0.9,0.6,1.1,0.8,37.0,31.2,22.6,18.0,2.8,1.8,309.3,241.4,6.1,7.2,31.5,34.5,35.5,41.5,1.4,2.0,150.2,204.2,459.5,445.5,2.0,1.5,59.7,65.5,0.6108108108108109,0.576923076923077,8.35945945945946,7.737179487179487,72.5,62.4,0.47586206896551725,0.5048076923076923,4.230985915492957,4.920481927710843,6.337931034482758,7.139423076923077,0,0,1,0,0,0,0,0,0,0,4.84,3.07,16.4,21.8,0.7,0.8,0.8,0.4,26.6,23.3,15.0,12.8,0.9,1.3,173.7,161.7,5.6,6.6,29.1,19.8,34.3,46.3,1.2,2.4,117.9,251.3,291.6,412.9,1.5,1.3,41.4,53.0,0.5639097744360902,0.5493562231759657,6.530075187969924,6.939914163090128,60.9,46.6,0.3251231527093596,0.6244635193133047,3.4373177842565603,5.427645788336934,4.788177339901479,8.860515021459227,0,0,0,0,0,0,0,0,1,0,-3.18,3.41
09-01,NORTH-CAROLINA,CALIFORNIA,17,24,200,-240,7.0,57,19.7,22.1,0.5,0.8,1.3,0.6,33.9,30.3,18.4,16.8,1.8,1.8,225.3,223.1,7.8,5.3,31.3,26.0,35.6,44.3,1.4,1.8,144.3,213.0,369.6,436.1,1.8,1.3,72.7,48.1,0.5427728613569321,0.5544554455445545,6.646017699115045,7.363036303630363,69.5,60.6,0.37410071942446044,0.5165016501650165,4.0533707865168545,4.808126410835214,5.3179856115107915,7.196369636963697,1,0,0,0,0,0,0,0,0,0,-1.82,4.1,22.1,22.4,0.7,0.8,1.0,1.2,39.7,34.4,23.2,22.3,1.6,1.5,258.9,265.8,6.5,7.6,28.4,27.8,34.7,39.6,1.4,1.8,125.6,164.1,384.5,429.9,1.7,2.0,54.8,67.9,0.5843828715365239,0.6482558139534884,6.521410579345087,7.7267441860465125,74.4,68.8,0.3736559139784946,0.4127906976744186,3.619596541786743,4.143939393939394,5.168010752688172,6.248546511627907,0,0,0,0,0,0,0,1,0,0,-0.16,1.76
